
SetupTitle, C-V Oliver
ApplicationTest, C-V Oliver, Public
TestParameter, Name, Anode, VacStart, VacStop, VacStep, OscLevel, FREQ, IntegTime, HoldTime, DelayTime
TestParameter, Value, CMU1:MF	MFCMU, 0, -5, -0.1, 0.05, 1000000, MEDIUM, 0, 0
DutParameter, Name, L, W, Temp
DutParameter, Value, 1E-07, 0.0001, 25
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 03/01/2019 12:41:05
MetaData, TestRecord.TestTarget, BPX61-1
MetaData, TestRecord.IterationIndex, 1
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, #
MetaData, TestRecord.Remarks, C-V Temp 20C 1MHz
MetaData, TestRecord.LinkKey, 50e3eef1-8df9-4f7a-a2fd-093cf59d2a78
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Vanode
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, false
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, -25
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, Cp
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, F
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 9.8E-12
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 7.6E-11
