Energy	Counts
0.032999999821186066	14.0
0.06599999964237213	9.0
0.0989999994635582	15.0
0.13199999928474426	12.0
0.16500000655651093	16.0
0.1979999989271164	16.0
0.23100000619888306	14.0
0.2639999985694885	19.0
0.296999990940094	16.0
0.33000001311302185	27.0
0.3630000054836273	22.0
0.3959999978542328	18.0
0.42899999022483826	21.0
0.4620000123977661	27.0
0.4950000047683716	36.0
0.527999997138977	27.0
0.5609999895095825	28.0
0.593999981880188	46.0
0.6269999742507935	56.0
0.6600000262260437	68.0
0.6930000185966492	78.0
0.7260000109672546	97.0
0.7590000033378601	100.0
0.7919999957084656	135.0
0.824999988079071	132.0
0.8579999804496765	186.0
0.890999972820282	202.0
0.9240000247955322	230.0
0.9570000171661377	239.0
0.9900000095367432	281.0
1.0230000019073486	295.0
1.055999994277954	334.0
1.0889999866485596	336.0
1.121999979019165	366.0
1.1549999713897705	343.0
1.187999963760376	398.0
1.2209999561309814	374.0
1.253999948501587	443.0
1.2869999408721924	404.0
1.3200000524520874	414.0
1.3530000448226929	415.0
1.3860000371932983	350.0
1.4190000295639038	423.0
1.4520000219345093	378.0
1.4850000143051147	341.0
1.5180000066757202	331.0
1.5509999990463257	304.0
1.5839999914169312	186.0
1.6169999837875366	138.0
1.649999976158142	92.0
1.6829999685287476	24.0
1.715999960899353	4.0
1.7489999532699585	0.0
