Energy	Counts
0.032999999821186066	0.0
0.0989999994635582	0.0
0.13199999928474426	1.0
0.16500000655651093	0.0
0.1979999989271164	1.0
0.23100000619888306	1.0
0.2639999985694885	0.0
0.296999990940094	1.0
0.33000001311302185	2.0
0.3630000054836273	1.0
0.3959999978542328	0.0
0.42899999022483826	0.0
0.4620000123977661	1.0
0.4950000047683716	0.0
0.5609999895095825	0.0
0.593999981880188	1.0
0.6269999742507935	0.0
0.6930000185966492	0.0
0.7260000109672546	1.0
0.7590000033378601	0.0
0.7919999957084656	0.0
0.824999988079071	1.0
0.8579999804496765	0.0
0.890999972820282	1.0
0.9570000171661377	1.0
0.9900000095367432	0.0
1.0230000019073486	0.0
1.055999994277954	1.0
1.121999979019165	1.0
1.1549999713897705	0.0
1.187999963760376	2.0
1.2209999561309814	0.0
1.253999948501587	1.0
1.2869999408721924	0.0
1.3200000524520874	3.0
1.3530000448226929	3.0
1.3860000371932983	1.0
1.4190000295639038	2.0
1.4520000219345093	0.0
1.4850000143051147	1.0
1.5180000066757202	2.0
1.5509999990463257	2.0
1.5839999914169312	1.0
1.6169999837875366	2.0
1.649999976158142	1.0
1.6829999685287476	1.0
1.715999960899353	0.0
1.7489999532699585	2.0
1.781999945640564	2.0
1.815000057220459	3.0
1.8480000495910645	3.0
1.88100004196167	1.0
1.9140000343322754	3.0
1.9470000267028809	6.0
1.9800000190734863	2.0
2.013000011444092	2.0
2.0460000038146973	4.0
2.0789999961853027	1.0
2.111999988555908	2.0
2.1449999809265137	1.0
2.177999973297119	1.0
2.2109999656677246	3.0
2.24399995803833	1.0
2.2769999504089355	2.0
2.309999942779541	4.0
2.3429999351501465	4.0
2.375999927520752	6.0
2.4089999198913574	1.0
2.441999912261963	4.0
2.4749999046325684	6.0
2.507999897003174	5.0
2.5409998893737793	1.0
2.5739998817443848	4.0
2.6070001125335693	4.0
2.640000104904175	1.0
2.6730000972747803	2.0
2.7060000896453857	5.0
2.739000082015991	7.0
2.7720000743865967	5.0
2.805000066757202	2.0
2.8380000591278076	6.0
2.871000051498413	6.0
2.9040000438690186	4.0
2.937000036239624	3.0
2.9700000286102295	5.0
3.003000020980835	2.0
3.0360000133514404	6.0
3.069000005722046	6.0
3.1019999980926514	10.0
3.134999990463257	10.0
3.1679999828338623	6.0
3.2009999752044678	8.0
3.2339999675750732	6.0
3.2669999599456787	9.0
3.299999952316284	9.0
3.3329999446868896	11.0
3.365999937057495	11.0
3.3989999294281006	10.0
3.431999921798706	8.0
3.497999906539917	8.0
3.5309998989105225	4.0
3.563999891281128	9.0
3.5969998836517334	6.0
3.630000114440918	11.0
3.6630001068115234	9.0
3.696000099182129	10.0
3.7290000915527344	10.0
3.76200008392334	14.0
3.7950000762939453	14.0
3.828000068664551	12.0
3.8610000610351562	19.0
3.8940000534057617	15.0
3.927000045776367	21.0
3.9600000381469727	19.0
3.993000030517578	20.0
4.026000022888184	30.0
4.059000015258789	27.0
4.0920000076293945	33.0
4.125	36.0
4.1579999923706055	55.0
4.190999984741211	53.0
4.223999977111816	62.0
4.256999969482422	67.0
4.289999961853027	89.0
4.322999954223633	113.0
4.355999946594238	154.0
4.388999938964844	152.0
4.421999931335449	177.0
4.454999923706055	277.0
4.48799991607666	298.0
4.520999908447266	370.0
4.553999900817871	414.0
4.586999893188477	468.0
4.619999885559082	548.0
4.6529998779296875	495.0
4.685999870300293	511.0
4.718999862670898	486.0
4.751999855041504	457.0
4.784999847412109	372.0
4.817999839782715	249.0
4.85099983215332	191.0
4.883999824523926	112.0
4.916999816894531	36.0
4.949999809265137	10.0
4.982999801635742	3.0
5.015999794006348	0.0
