Energy	Counts
0.032999999821186066	1.0
0.06599999964237213	1.0
0.0989999994635582	2.0
0.13199999928474426	3.0
0.16500000655651093	2.0
0.1979999989271164	1.0
0.23100000619888306	1.0
0.2639999985694885	0.0
0.296999990940094	0.0
0.33000001311302185	4.0
0.3630000054836273	1.0
0.3959999978542328	0.0
0.42899999022483826	3.0
0.4620000123977661	0.0
0.4950000047683716	1.0
0.527999997138977	0.0
0.5609999895095825	1.0
0.593999981880188	3.0
0.6269999742507935	1.0
0.6930000185966492	1.0
0.7260000109672546	5.0
0.7590000033378601	1.0
0.7919999957084656	1.0
0.824999988079071	2.0
0.8579999804496765	4.0
0.890999972820282	2.0
0.9240000247955322	1.0
0.9570000171661377	2.0
0.9900000095367432	6.0
1.0230000019073486	2.0
1.055999994277954	2.0
1.0889999866485596	4.0
1.121999979019165	2.0
1.1549999713897705	1.0
1.187999963760376	1.0
1.2209999561309814	3.0
1.253999948501587	2.0
1.3200000524520874	2.0
1.3530000448226929	1.0
1.3860000371932983	3.0
1.4190000295639038	6.0
1.4520000219345093	6.0
1.4850000143051147	4.0
1.5180000066757202	3.0
1.5509999990463257	4.0
1.5839999914169312	5.0
1.649999976158142	5.0
1.6829999685287476	3.0
1.715999960899353	5.0
1.7489999532699585	1.0
1.781999945640564	5.0
1.815000057220459	3.0
1.8480000495910645	8.0
1.88100004196167	7.0
1.9140000343322754	2.0
1.9470000267028809	6.0
1.9800000190734863	4.0
2.013000011444092	7.0
2.0460000038146973	9.0
2.0789999961853027	9.0
2.111999988555908	4.0
2.1449999809265137	4.0
2.177999973297119	6.0
2.2109999656677246	6.0
2.24399995803833	8.0
2.2769999504089355	9.0
2.309999942779541	9.0
2.3429999351501465	8.0
2.375999927520752	10.0
2.4089999198913574	9.0
2.441999912261963	10.0
2.4749999046325684	11.0
2.507999897003174	12.0
2.5409998893737793	14.0
2.5739998817443848	13.0
2.6070001125335693	10.0
2.640000104904175	14.0
2.6730000972747803	10.0
2.7060000896453857	11.0
2.739000082015991	12.0
2.7720000743865967	14.0
2.8380000591278076	14.0
2.871000051498413	17.0
2.9040000438690186	20.0
2.937000036239624	22.0
2.9700000286102295	13.0
3.003000020980835	29.0
3.0360000133514404	20.0
3.069000005722046	27.0
3.1019999980926514	33.0
3.134999990463257	37.0
3.1679999828338623	23.0
3.2009999752044678	34.0
3.2339999675750732	33.0
3.2669999599456787	37.0
3.299999952316284	46.0
3.3329999446868896	51.0
3.365999937057495	68.0
3.3989999294281006	69.0
3.431999921798706	78.0
3.4649999141693115	81.0
3.497999906539917	121.0
3.5309998989105225	116.0
3.563999891281128	145.0
3.5969998836517334	201.0
3.630000114440918	209.0
3.6630001068115234	255.0
3.696000099182129	364.0
3.7290000915527344	437.0
3.76200008392334	477.0
3.7950000762939453	545.0
3.828000068664551	638.0
3.8610000610351562	676.0
3.8940000534057617	665.0
3.927000045776367	637.0
3.9600000381469727	682.0
3.993000030517578	565.0
4.026000022888184	488.0
4.059000015258789	431.0
4.0920000076293945	329.0
4.125	183.0
4.1579999923706055	95.0
4.190999984741211	26.0
4.223999977111816	4.0
4.256999969482422	0.0
